Hotel Name,Agoda ID,Booking.com ID,Expedia ID,Trip.com ID,Yanolja ID,Yeogi ID
데이즈 호텔 바이 윈덤 서울 명동,days-hotel-myeongdong,days-myeongdong,Seoul-Hotels-Days-Hotel-Myeongdong.h37207489,41496077,1000108504,7443
호텔 스카이파크 명동 3호점,hotel-skypark-myeongdong-iii,skypark-myeongdong-3,Seoul-Hotels-HOTEL-SKYPARK-Myeongdong-III.h4465738,988482,3001826,6551
밀리오레 호텔 서울 명동,loisir-hotel-seoul-myeongdong,loisir-seoul-myeongdong,Seoul-Hotels-Migliore-Hotel-Seoul-Myeongdong.h9652850,1687209,1000114102,67993
소테츠 프레사 인 서울 명동,sotetsu-fresa-inn-seoul-myeong-dong,sotetsu-fresa-inn-seoul-myeong-dong,Seoul-Hotels-Sotetsu-Fresa-Inn-Seoul-Myeong-Dong.h37207489,41496077,1000108504,64580
나인트리 호텔 명동,nine-tree-hotel-myeong-dong,nine-tree,Seoul-Hotels-Nine-Tree-Hotel-Myeongdong.h6084370,988649,3000612,6492
프린스 호텔 명동,prince-hotel-myeongdong,hotel-prince-seoul,Seoul-Hotels-Hotel-Prince-Seoul.h2321943,988630,3000619,6283
스탠포드 호텔 명동,stanford-hotel-myeongdong,seutaenpodeuhotel-myeongdong-stanford-myeongdong,Seoul-Hotels-Stanford-Hotel-Myeongdong.h74101909,83924501,10042533,69970
호텔 토마스 명동,hotel-thomas-myeongdong_2,thomas-myeongdong,Seoul-Hotels-Hotel-Thomas-Myeongdong.h37207489,41496077,3012752,58031
호텔 스카이파크 명동 1호점,hotel-skypark-myeongdong-i,skypark,None,None,3001824,6557
호텔 스카이파크 명동 2호점,hotel-skypark-myeongdong-ii,skypark-myeongdong-2,None,None,3001825,6553
호텔 스카이파크 센트럴 명동점,hotel-skypark-central-myeongdong,skypark-central-myeongdong,None,None,3001827,6550
모헤닉 호텔 서울 명동,mohenic-hotel-seoul-myeongdong,mohenic-seoul-myeongdong,None,None,10051465,x
소테츠 호텔 더 스프라지르 서울 명동,sotetsu-hotels-the-splaisir-seoul-myeong-dong,the-m-seoul,None,None,3001538,6823
솔라고 명동 호텔 앤 레지던스,h44922485,solrago-myeongdong-aen-rejideonseu,None,None,10055796,78854
세종 호텔 서울 명동,sejong-hotel-seoul-myeongdong,sejong,None,None,3001339,6673
사보이 호텔 서울,savoy-hotel,savoy,None,None,10047416,7228
라인 호텔 명동,line-hotel-myeongdong,line-myeongdong,None,None,1000103516,62242
이비스 스타일 앰배서더 서울 명동,ibis-styles-ambassador-seoul-myeongdong,ibis-styles-seoul-myeongdong,None,None,3001210,6487
헨나호텔 서울 명동,h22615631,bian-nahoteru-souruming-dong,None,None,10040290,68834
L7 명동,l7-myeongdong-by-lotte,l7-myeongdong-by-lotte,None,None,3001557,7022
호텔 그레이스리 서울,hotel-gracery-seoul,gracery-seoul,None,None,1000100245,61600
이비스 앰배서더 서울 명동,ibis-ambassador-seoul-myeongdong,ibis-myeong-dong,None,None,3000700,6493
로얄호텔 서울,royal-hotel-seoul,seoul-royal,None,None,3001934,6395
퍼시픽 호텔 명동,pacific-hotel,pacific,None,None,3001030,6289
롯데 시티 호텔 명동,lotte-city-hotel-myeongdong,lotte-city-seoul-myeongdong,None,None,3001559,7020
솔라리아 니시테츠 호텔 서울 명동,solaria-nishitetsu-hotel-seoul-myeongdong,solaria-nishitetsu-seoul,None,None,3001877,7425
목시 서울 명동,moxy-seoul-myeongdong,moxy-seoul-myeongdong,None,None,10050982,x
